filename,ela_anomaly,fft_energy,prnu_variance,deep_score
ai_pollinations_1.jpg,0.0,127.22001032796133,0.0,0.9640820622444153
ai_pollinations_2.jpg,0.0,149.692925384941,0.0,0.8508116602897644
ai_pollinations_3.jpg,0.0,131.62332180697763,0.0,0.8720129728317261
ai_pollinations_4.jpg,0.0,151.0464245304816,0.0,0.9421151280403137
ai_pollinations_5.jpg,0.0,143.1677768426955,0.0,0.80037921667099
ai_pollinations_6.jpg,0.0,134.7266539639751,0.0,0.9736378788948059
ai_pollinations_7.jpg,0.0,149.9057007969632,0.0,0.9071463346481323
ai_tpdne_1.jpeg,0.0,138.4120900787303,0.0,0.8142857551574707
ai_tpdne_10.jpeg,0.0,137.88256890179247,0.0,0.582770824432373
ai_tpdne_11.jpeg,0.0,138.33814287136968,0.0,0.5919979214668274
ai_tpdne_12.jpeg,0.0,135.7296702515843,0.0,0.5618480443954468
ai_tpdne_13.jpeg,0.0,136.35942118429,0.0,0.5649866461753845
ai_tpdne_14.jpeg,0.0,137.6340056907152,0.0,0.6612749099731445
ai_tpdne_2.jpeg,0.0,138.3428799128339,0.0,0.6794063448905945
ai_tpdne_3.jpeg,0.0,140.9066124410585,0.0,0.6120529770851135
ai_tpdne_4.jpeg,0.0,138.40907110617113,0.0,0.643549382686615
ai_tpdne_5.jpeg,0.0,138.80952281817733,0.0,0.7515329718589783
ai_tpdne_6.jpeg,0.0,133.28806135598538,0.0,0.614525556564331
ai_tpdne_7.jpeg,0.0,134.0893745381415,0.0,0.6735342144966125
ai_tpdne_8.jpeg,0.0,138.6261984262731,0.0,0.5129089951515198
ai_tpdne_9.jpeg,0.0,137.43375275581107,0.0,0.5899147391319275
human.png,0.0,130.4897260057302,0.0,0.9720189571380615
ReAl.jpeg,0.0,177.29996847978452,0.0,0.28351864218711853
Real.webp,0.0,186.35938152354092,0.0,0.9670546054840088
REAL1.jpeg,0.0,161.57949648105512,0.0,0.9332833290100098
real1.webp,0.0,129.3181246003172,0.0,0.5281631946563721
real_picsum_1.jpg,0.0,165.31303530713788,0.0,0.7440516948699951
real_picsum_10.jpg,0.0,159.45681234298416,0.0,0.9858893156051636
real_picsum_11.jpg,0.0,145.33323405666425,0.0,0.9798600077629089
real_picsum_12.jpg,0.0,184.34955560119292,0.0,0.9524717330932617
real_picsum_13.jpg,0.0,158.05240909367257,0.0,0.6032728552818298
real_picsum_14.jpg,0.0,157.9510061418884,0.0,0.7742381691932678
real_picsum_15.jpg,0.0,146.47733742904632,0.0,0.9601215720176697
real_picsum_16.jpg,0.0,168.12383734537616,0.0,0.9765084385871887
real_picsum_17.jpg,0.0,131.9389662490767,0.0,0.7132972478866577
real_picsum_18.jpg,0.0,153.49425964350175,0.0,0.8981871604919434
real_picsum_19.jpg,0.0,154.69589114302607,0.0,0.9673869609832764
real_picsum_2.jpg,0.0,169.46893931430068,0.0,0.8333016037940979
real_picsum_20.jpg,0.0,153.3994109989533,0.0,0.5105878114700317
real_picsum_3.jpg,0.0,133.26549936050216,0.0,0.5015133023262024
real_picsum_4.jpg,0.0,147.49467334725873,0.0,0.7008233070373535
real_picsum_5.jpg,0.0,128.74981213586054,0.0,0.9106916189193726
real_picsum_6.jpg,0.0,136.06139138339208,0.0,0.9330715537071228
real_picsum_7.jpg,0.0,159.45681234298416,0.0,0.9858893156051636
real_picsum_8.jpg,0.0,161.9345610315154,0.0,0.9836596250534058
real_picsum_9.jpg,0.0,142.9167937111899,0.0,0.9351508617401123
